cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,10,28,agent,75,19,3.2083157647086167,3.110326897397739,6.398800130737455,0.529964852811048,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,12,28,agent,47,13,0.46643660626203676,0.44835518179711303,0.7980429621843191,0.7458987151639601,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,14,28,agent,72,17,0.3148434653068439,0.369793607637724,0.7440690446425887,0.8089506442220286,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,16,28,agent,129,19,0.3049796117374584,0.23970503504159738,0.7305125994117636,0.8091967885958887,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,18,28,agent,58,11,3.7545077859927405,3.654938725729807,9.887495401230725,0.5103802997642631,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,20,28,agent,184,52,0.8087099726710807,0.9646611402190578,2.0682954305353074,0.6929474444813714,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,22,28,agent,180,33,0.419419115604458,0.3813089279358221,1.2710827164577716,0.819041789032279,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,24,28,agent,107,20,2.1208221829112994,2.0239885744886728,6.846009737253189,0.6823958514733072,1
qwen14B-int4_retail_50runs,int4,f6190ee4-cbd0-4223-ad2d-c58745b16076,26,28,agent,155,21,0.22179655608951648,0.19825627329143053,0.7664924959341685,0.8781997946521796,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,2,30,agent,76,28,2.7291230918165303,3.731015584064407,4.915793577209115,0.4768200430379593,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,4,30,agent,73,19,3.407682099862914,3.335454895971282,6.834115988329837,0.5121416094682905,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,6,30,agent,73,20,0.9251518974340078,0.8770269993640819,1.6318566262722016,0.6398384014184618,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,8,30,agent,43,18,1.1028923623551046,1.2654918504044401,1.53802509771453,0.5855518576530857,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,10,30,agent,67,15,0.42163806243172774,0.4307276524546829,0.9380756745735804,0.74586557624213,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,12,30,agent,91,23,0.7866228427859071,0.7854613301842599,1.8120993890840074,0.6838971448806634,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,14,30,agent,56,17,3.7949485835023045,3.665623982691205,7.58046772637788,0.4972080052493214,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,16,30,agent,70,13,0.27822294502411454,0.2948483074679862,0.641786803992895,0.8131956556025285,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,18,30,agent,109,24,0.31547395262312733,0.30253056279685797,0.5963165201246738,0.8133107826698351,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,20,30,agent,59,14,3.650989430072736,3.531021489010343,7.089279597359044,0.5061465023147489,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,22,30,agent,84,15,0.23379785465008124,0.20299598576998762,0.4809931755065918,0.8359905187752962,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,24,30,agent,128,37,0.38093975008693975,0.3686768872459467,0.7368238797864398,0.7683158178516799,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,26,30,agent,114,18,0.25364550059508467,0.15490997044122046,0.4386029615998268,0.8338210485732377,1
qwen14B-int4_retail_50runs,int4,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,28,30,agent,104,10,0.1801565865301903,0.1494237431980198,0.7575901225209236,0.9054756407946232,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,2,44,agent,49,20,5.875439106794036,5.627403684565176,7.635391975939274,0.27108794191471536,1
