cell,traj_id,step_idx,U,da,label_fail
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,16,0.004573426914121216,0.1612846963107586,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,18,0.2622151739707492,0.14925710243337295,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,20,0.32299853792939576,1.0,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,22,0.303472178245652,0.10466943740844727,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,0,,,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,2,0.2394830394328879,0.0,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,4,0.40464078810732995,0.10733922933920836,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,6,0.41016594095020836,0.25157981872558594,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,8,0.2602095230743693,0.16495354321538186,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,10,0.3001723648586712,0.2409727790138938,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,12,0.2456912385722167,0.1798012082496386,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,14,0.13073866861556754,0.1235212470000645,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,16,0.005383620866002116,0.011022102141725844,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,0,,,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,2,0.21206279839792572,0.0,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,4,0.16370337985155908,0.24401624019329365,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,7,0.2001878803127679,0.315896651516222,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,9,0.530755636579266,0.1121395698076562,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,11,0.10892694221245978,1.0,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,14,0.18085638366663054,1.0,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,17,0.1968754776905984,1.0,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,20,0.12453394453228395,1.0,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,23,0.0728914240903348,0.7389935834067208,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,25,0.05466437089033728,1.0,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,28,0.12338102850301211,0.25696704231324746,1
qwen14B-int4_airline_50runs,2209bccb-723e-4e1f-85ff-dbcc60bbd947,30,0.05882326282918854,0.5553428871291024,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,0,,,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,2,0.2390441385352384,0.0,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,5,0.36990628515760926,0.1491501787875561,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,7,0.14500071589842586,0.14214824323784814,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,11,0.2455470704842006,0.2515967860817909,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,13,0.3370241247068105,0.08007576767827423,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,15,0.1547529996224072,0.18682260811328888,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,18,0.2626964308428947,0.22411188871964163,1
