cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,8,30,agent,43,20,1.1530339458209198,1.3415911758248544,1.5372662056237458,0.5757787597046673,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,10,30,agent,67,15,0.3766252346370317,0.41045979728340726,0.9555884182453156,0.7574956917448374,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,12,30,agent,91,24,0.765761822780614,0.800342156884417,1.7542542181909084,0.6959611002329028,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,14,30,agent,56,16,3.757845692240372,3.56968567686691,7.379773881752044,0.4946377483939344,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,16,30,agent,70,13,0.2918406849802206,0.2971225504819174,0.6427793869605432,0.8038507388402247,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,18,30,agent,109,24,0.40854708289695557,0.425551291351609,0.8725224770605564,0.7876945291531144,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,20,30,agent,59,12,3.811960709559034,3.668901000377719,9.102174467096726,0.47445267235613786,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,22,30,agent,84,16,0.26874436289832687,0.2292239396181194,0.5805058334954083,0.8228953416778599,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,24,30,agent,128,37,0.3955707319178471,0.3971018990406962,0.7705568123508144,0.7653348052036354,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,26,30,agent,114,18,0.24300353447579867,0.13888451882121403,0.4093954960505168,0.8376590890723463,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,28,30,agent,104,11,0.15919582103645627,0.13622421749801095,0.5550821152600375,0.9076962953192992,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,2,44,agent,49,20,5.892256365401928,5.6513368670101345,7.704601050913334,0.3018484252344219,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,4,44,agent,31,10,2.261451430452538,2.0640807103986725,2.086492483317852,0.5813561142693486,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,6,44,agent,54,13,0.6366082174546909,0.7272716130836347,1.3995400122725046,0.7456704978266367,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,8,44,agent,88,14,0.3279389849128909,0.3127464625742563,1.2936595508030482,0.8386196888434316,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,10,44,agent,73,22,1.3327505013479428,1.4991075787116053,2.2313566973263566,0.618714669300994,1
