cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,36,38,agent,0.6389249563217163,0.2545454545454545,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,37,38,user,,,,,,0.6014211773872375,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,0,18,agent,,,,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,1,18,user,,,,,,0.5123802721500397,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,2,18,agent,0.46476662158966064,0.08108108108108109,0.0,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,3,18,user,,,,,,0.2875882387161255,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,4,18,agent,0.6387995481491089,0.04,0.0,0.41182589530944824,0.07341885566711426,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,5,18,tool,,,,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,6,18,agent,0.7228351831436157,0.18333333333333332,0.0,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,7,18,user,,,,,,0.4517436623573303,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,8,18,agent,0.7090790271759033,0.23529411764705882,0.0,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,9,18,user,,,,,,0.351443350315094,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,10,18,agent,0.9000157713890076,0.40350877192982454,0.0,0.40522104501724243,-0.022503644227981567,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,11,18,tool,,,,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,12,18,agent,0.8874492049217224,0.36764705882352944,0.0,,,,0,0
